,dates,open,high,low,close,adjusted close,volume,dividend amount,tickers
0,2019-06-07,170.17,173.87,168.84,173.35,173.35,16906102.0,0.0,FB
1,2019-06-06,168.3,169.7,167.23,168.33,168.33,12446354.0,0.0,FB
2,2019-06-05,167.48,168.72,164.63,168.17,168.17,19758317.0,0.0,FB
3,2019-06-04,163.71,168.28,160.84,167.5,167.5,46044256.0,0.0,FB
4,2019-06-03,175.0,175.05,161.01,164.15,164.15,56059609.0,0.0,FB
5,2019-05-31,180.28,180.54,177.16,177.47,177.47,15226536.0,0.0,FB
6,2019-05-30,183.08,183.48,180.89,183.01,183.01,8581544.0,0.0,FB
7,2019-05-29,183.5,184.56,181.35,182.19,182.19,12797685.0,0.0,FB
8,2019-05-28,181.54,184.7119,181.4537,184.31,184.31,14843308.0,0.0,FB
9,2019-05-24,182.33,183.63,180.83,181.06,181.06,8807701.0,0.0,FB
10,2019-05-23,182.42,183.9,179.67,180.87,180.87,12768835.0,0.0,FB
11,2019-05-22,184.73,186.74,183.61,185.32,185.32,9213801.0,0.0,FB
12,2019-05-21,184.57,185.7,183.885,184.82,184.82,7502820.0,0.0,FB
13,2019-05-20,181.88,184.23,181.37,182.72,182.72,10351981.0,0.0,FB
14,2019-05-17,184.84,187.58,184.28,185.3,185.3,10485370.0,0.0,FB
15,2019-05-16,185.05,188.575,185.05,186.99,186.99,12953111.0,0.0,FB
16,2019-05-15,180.42,187.28,180.02,186.27,186.27,16746904.0,0.0,FB
17,2019-05-14,182.52,183.49,178.1,180.73,180.73,17628142.0,0.0,FB
18,2019-05-13,183.5,185.43,180.84,181.54,181.54,16833347.0,0.0,FB
19,2019-05-10,188.25,190.0,184.59,188.34,188.34,12578508.0,0.0,FB
20,2019-05-09,187.2,189.77,186.26,188.65,188.65,12967033.0,0.0,FB
21,2019-05-08,189.39,190.72,188.55,189.54,189.54,12505737.0,0.0,FB
22,2019-05-07,192.54,192.9,187.85,189.77,189.77,16253001.0,0.0,FB
23,2019-05-06,191.24,194.28,190.55,193.88,193.88,13994932.0,0.0,FB
24,2019-05-03,194.38,196.16,193.71,195.47,195.47,14575434.0,0.0,FB
25,2019-05-02,193.0,194.0,189.75,192.53,192.53,13209452.0,0.0,FB
26,2019-05-01,194.78,196.1769,193.01,193.03,193.03,15996646.0,0.0,FB
27,2019-04-30,194.19,197.39,192.28,193.4,193.4,23494689.0,0.0,FB
28,2019-04-29,190.95,195.41,190.65,194.78,194.78,19641310.0,0.0,FB
29,2019-04-26,192.5,192.9,189.09,191.49,191.49,22075002.0,0.0,FB
30,2019-04-25,196.98,198.48,192.12,193.26,193.26,54148789.0,0.0,FB
31,2019-04-24,184.49,185.14,181.65,182.58,182.58,37289871.0,0.0,FB
32,2019-04-23,182.74,184.22,181.48,183.78,183.78,19954814.0,0.0,FB
33,2019-04-22,178.25,181.665,178.25,181.44,181.44,13389889.0,0.0,FB
34,2019-04-18,178.8,178.88,177.34,178.28,178.28,11655608.0,0.0,FB
35,2019-04-17,179.6,180.74,178.36,178.78,178.78,9973732.0,0.0,FB
36,2019-04-16,179.0,180.17,178.3,178.87,178.87,11215193.0,0.0,FB
37,2019-04-15,178.5,180.5,176.87,179.65,179.65,10834762.0,0.0,FB
38,2019-04-12,178.0,179.63,177.95,179.1,179.1,12329812.0,0.0,FB
39,2019-04-11,178.24,178.4,177.0,177.51,177.51,8070967.0,0.0,FB
40,2019-04-10,178.18,178.79,176.54,177.82,177.82,11701479.0,0.0,FB
41,2019-04-09,175.62,179.19,175.55,177.58,177.58,19751031.0,0.0,FB
42,2019-04-08,175.21,175.5,174.23,174.93,174.93,7297379.0,0.0,FB
43,2019-04-05,176.88,177.0,175.1,175.72,175.72,9594133.0,0.0,FB
44,2019-04-04,176.02,178.0,175.5301,176.02,176.02,17847731.0,0.0,FB
45,2019-04-03,174.5,177.96,172.95,173.54,173.54,27590058.0,0.0,FB
46,2019-04-02,170.14,174.9,169.55,174.2,174.2,23946529.0,0.0,FB
47,2019-04-01,167.83,168.9,167.2789,168.7,168.7,10381490.0,0.0,FB
48,2019-03-29,166.39,167.19,164.81,166.69,166.69,13455454.0,0.0,FB
49,2019-03-28,164.57,166.72,163.33,165.55,165.55,10689171.0,0.0,FB
50,2019-03-27,167.85,168.94,164.79,165.87,165.87,10620299.0,0.0,FB
51,2019-03-26,167.35,169.45,166.3499,167.68,167.68,15437920.0,0.0,FB
52,2019-03-25,163.0,166.54,162.0,166.29,166.29,12631230.0,0.0,FB
53,2019-03-22,165.65,167.42,164.09,164.34,164.34,16389185.0,0.0,FB
54,2019-03-21,164.89,166.39,163.75,166.08,166.08,16223007.0,0.0,FB
55,2019-03-20,161.5,166.12,161.24,165.44,165.44,20211474.0,0.0,FB
56,2019-03-19,161.48,163.82,160.82,161.57,161.57,25611488.0,0.0,FB
57,2019-03-18,163.57,163.9,159.28,160.47,160.47,37524191.0,0.0,FB
58,2019-03-15,167.16,167.58,162.51,165.98,165.98,37126000.0,0.0,FB
59,2019-03-14,169.76,171.15,168.16,170.17,170.17,18037364.0,0.0,FB
60,2019-03-13,172.32,174.03,172.12,173.37,173.37,11973280.0,0.0,FB
61,2019-03-12,172.09,173.8,171.2178,171.92,171.92,12155264.0,0.0,FB
62,2019-03-11,171.6,174.3,171.58,172.07,172.07,18883983.0,0.0,FB
63,2019-03-08,166.2,169.62,165.97,169.6,169.6,13184831.0,0.0,FB
64,2019-03-07,171.5,171.74,167.61,169.13,169.13,18306504.0,0.0,FB
65,2019-03-06,172.9,173.57,171.27,172.51,172.51,21531723.0,0.0,FB
66,2019-03-05,167.37,171.88,166.55,171.26,171.26,28187890.0,0.0,FB
67,2019-03-04,163.9,167.5,163.83,167.37,167.37,18894689.0,0.0,FB
68,2019-03-01,162.6,163.132,161.69,162.28,162.28,11097770.0,0.0,FB
69,2019-02-28,162.37,163.5,160.86,161.45,161.45,11114185.0,0.0,FB
70,2019-02-27,162.9,163.93,160.41,162.81,162.81,12697485.0,0.0,FB
71,2019-02-26,164.335,166.24,163.8,164.13,164.13,13784063.0,0.0,FB
72,2019-02-25,163.07,166.07,162.9,164.62,164.62,18737106.0,0.0,FB
73,2019-02-22,160.58,162.41,160.31,161.89,161.89,15858468.0,0.0,FB
74,2019-02-21,161.93,162.24,159.59,160.04,160.04,15607828.0,0.0,FB
75,2019-02-20,162.25,163.72,161.25,162.56,162.56,11770692.0,0.0,FB
76,2019-02-19,160.5,164.15,160.33,162.29,162.29,14345390.0,0.0,FB
77,2019-02-15,164.51,164.7,160.86,162.5,162.5,15504415.0,0.0,FB
78,2019-02-14,163.19,164.8697,162.2468,163.95,163.95,12755151.0,0.0,FB
79,2019-02-13,165.38,166.22,163.73,164.07,164.07,14205146.0,0.0,FB
80,2019-02-12,166.86,168.34,164.5,165.04,165.04,16292290.0,0.0,FB
81,2019-02-11,167.9,168.3,165.08,165.79,165.79,12811176.0,0.0,FB
82,2019-02-08,164.47,167.37,164.21,167.33,167.33,12561422.0,0.0,FB
83,2019-02-07,168.2,169.24,165.25,166.38,166.38,17517609.0,0.0,FB
84,2019-02-06,171.2,172.47,169.27,170.49,170.49,13281161.0,0.0,FB
85,2019-02-05,169.15,171.98,168.69,171.16,171.16,22556985.0,0.0,FB
86,2019-02-04,165.7,169.3,163.62,169.25,169.25,20036470.0,0.0,FB
87,2019-02-01,165.84,169.1,165.66,165.71,165.71,30806513.0,0.0,FB
88,2019-01-31,165.6,171.68,165.0,166.69,166.69,77233602.0,0.0,FB
89,2019-01-30,146.22,150.95,145.6953,150.42,150.42,44613240.0,0.0,FB
90,2019-01-29,148.09,148.1,143.43,144.19,144.19,17631953.0,0.0,FB
91,2019-01-28,148.05,148.96,146.21,147.47,147.47,15508483.0,0.0,FB
92,2019-01-25,147.48,149.83,146.54,149.01,149.01,22250954.0,0.0,FB
93,2019-01-24,144.64,146.44,142.52,145.83,145.83,20955518.0,0.0,FB
94,2019-01-23,148.28,148.8,143.055,144.3,144.3,20098415.0,0.0,FB
95,2019-01-22,149.2,151.53,146.37,147.57,147.57,22378694.0,0.0,FB
96,2019-01-18,149.75,152.43,148.55,150.04,150.04,31029612.0,0.0,FB
97,2019-01-17,146.95,149.0,146.5,148.3,148.3,15787914.0,0.0,FB
98,2019-01-16,149.0,149.6499,146.9975,147.54,147.54,18025714.0,0.0,FB
99,2019-01-15,146.01,150.68,145.99,148.95,148.95,24068822.0,0.0,FB
