,dates,open,high,low,close,adjusted close,volume,dividend amount,tickers
0,2019-06-05,61.73,62.235,61.28,62.18,62.18,6435331.0,0.0,CTSH
1,2019-06-05,184.28,184.99,181.14,182.54,182.54,29725948.0,0.0,AAPL
2,2019-06-05,200.08,200.56,199.25,200.13,200.13,4294589.0,0.0,MCD
3,2019-06-05,167.48,168.72,164.63,168.17,168.17,19400462.0,0.0,FB
4,2019-06-05,133.38,133.61,130.47,131.49,131.49,3161306.0,0.0,IBM
5,2019-06-05,198.68,201.2782,191.8486,196.59,196.59,13480099.0,0.0,TSLA
6,2019-06-05,1055.0,1056.81,1033.0,1044.64,1044.64,2261747.0,0.0,GOOGL
7,2019-06-05,124.95,125.87,124.21,125.83,125.83,24517567.0,0.0,MSFT
8,2019-06-04,175.44,179.83,174.52,179.64,179.64,30967961.0,0.0,AAPL
9,2019-06-04,199.0,200.3,198.79,199.63,199.63,3829903.0,0.0,MCD
10,2019-06-04,121.28,123.28,120.6522,123.16,123.16,29382642.0,0.0,MSFT
11,2019-06-04,61.03,61.54,58.87,61.1,61.1,7812764.0,0.0,CTSH
12,2019-06-04,163.71,168.28,160.84,167.5,167.5,46044256.0,0.0,FB
13,2019-06-04,181.1,193.98,179.61,193.6,193.6,13807522.0,0.0,TSLA
14,2019-06-04,129.56,132.74,129.085,132.69,132.69,3913535.0,0.0,IBM
15,2019-06-04,1044.49,1058.44,1036.03,1054.49,1054.49,3025564.0,0.0,GOOGL
16,2019-06-03,175.0,175.05,161.01,164.15,164.15,56059609.0,0.0,FB
17,2019-06-03,127.1,128.56,127.06,128.27,128.27,4267080.0,0.0,IBM
18,2019-06-03,123.85,124.37,119.01,119.84,119.84,37983637.0,0.0,MSFT
19,2019-06-03,175.6,177.92,170.27,173.3,173.3,40396069.0,0.0,AAPL
20,2019-06-03,198.36,199.1,197.32,198.78,198.78,3211789.0,0.0,MCD
21,2019-06-03,185.51,186.68,176.9919,178.97,178.97,13064410.0,0.0,TSLA
22,2019-06-03,61.77,62.1,60.13,60.54,60.54,7308487.0,0.0,CTSH
23,2019-06-03,1066.93,1067.0,1027.03,1038.74,1038.74,4844480.0,0.0,GOOGL
24,2019-05-31,185.1,189.9204,184.1,185.16,185.16,10406732.0,0.0,TSLA
25,2019-05-31,180.28,180.54,177.16,177.47,177.47,15226536.0,0.0,FB
26,2019-05-31,61.73,62.33,61.73,61.93,61.93,5698594.0,0.0,CTSH
27,2019-05-31,176.23,177.99,174.99,175.07,175.07,27043584.0,0.0,AAPL
28,2019-05-31,1105.64,1113.4,1103.35,1106.5,1106.5,1579481.0,0.0,GOOGL
29,2019-05-31,124.23,124.615,123.32,123.68,123.68,26646769.0,0.0,MSFT
30,2019-05-31,128.44,128.44,126.85,126.99,126.99,3539343.0,0.0,IBM
31,2019-05-31,197.41,200.03,197.25,198.27,198.27,3669172.0,1.16,MCD
32,2019-05-30,61.94,62.9,61.75,62.36,62.36,5059753.0,0.0,CTSH
33,2019-05-30,1120.15,1126.8,1115.9,1121.41,1121.41,904419.0,0.0,GOOGL
34,2019-05-30,177.95,179.23,176.67,178.3,178.3,21218412.0,0.0,AAPL
35,2019-05-30,188.75,192.255,187.02,188.22,188.22,7926475.0,0.0,TSLA
36,2019-05-30,125.26,125.76,124.78,125.73,125.73,16829613.0,0.0,MSFT
37,2019-05-30,129.74,129.97,128.93,129.57,129.57,2741880.0,0.0,IBM
38,2019-05-30,196.01,199.42,195.775,199.24,198.0811,2685006.0,0.0,MCD
39,2019-05-30,183.08,183.48,180.89,183.01,183.01,8581544.0,0.0,FB
40,2019-05-29,183.5,184.56,181.35,182.19,182.19,12797685.0,0.0,FB
41,2019-05-29,176.42,179.35,176.0,177.38,177.38,28481165.0,0.0,AAPL
42,2019-05-29,125.38,125.39,124.04,124.94,124.94,22763140.0,0.0,MSFT
43,2019-05-29,130.0,130.28,128.32,129.69,129.69,3678978.0,0.0,IBM
44,2019-05-29,195.85,196.7,194.85,196.02,194.8798,2925087.0,0.0,MCD
45,2019-05-29,1132.7,1135.0,1111.95,1119.94,1119.94,1811510.0,0.0,GOOGL
46,2019-05-29,187.1,192.39,185.0401,189.86,189.86,11968638.0,0.0,TSLA
47,2019-05-29,61.83,62.17,61.545,61.88,61.88,4540544.0,0.0,CTSH
48,2019-05-28,181.54,184.7119,181.4537,184.31,184.31,14843308.0,0.0,FB
49,2019-05-28,62.14,62.66,61.88,62.07,62.07,6931011.0,0.0,CTSH
50,2019-05-28,198.28,199.38,196.38,196.67,195.5261,3675164.0,0.0,MCD
51,2019-05-28,1141.48,1156.49,1138.67,1139.56,1139.56,1047554.0,0.0,GOOGL
52,2019-05-28,126.98,128.0,126.05,126.16,126.16,23128359.0,0.0,MSFT
53,2019-05-28,178.92,180.59,177.91,178.23,178.23,27948160.0,0.0,AAPL
54,2019-05-28,191.2,195.0,187.85,188.7,188.7,10312901.0,0.0,TSLA
55,2019-05-28,132.13,132.64,130.27,130.46,130.46,4909121.0,0.0,IBM
56,2019-05-24,126.91,127.415,125.97,126.24,126.24,14123358.0,0.0,MSFT
57,2019-05-24,1152.0,1154.36,1136.71,1138.61,1138.61,927651.0,0.0,GOOGL
58,2019-05-24,199.87,199.9,197.33,197.77,196.6197,2105755.0,0.0,MCD
59,2019-05-24,182.33,183.63,180.83,181.06,181.06,8807701.0,0.0,FB
60,2019-05-24,199.83,199.98,188.7505,190.63,190.63,14136572.0,0.0,TSLA
61,2019-05-24,133.53,134.245,131.59,132.28,132.28,2596121.0,0.0,IBM
62,2019-05-24,61.5,62.19,61.22,61.87,61.87,6435123.0,0.0,CTSH
63,2019-05-24,180.2,182.14,178.62,178.97,178.97,23714686.0,0.0,AAPL
64,2019-05-23,198.81,199.43,198.1,198.97,197.8127,3560545.0,0.0,MCD
65,2019-05-23,126.2,126.29,124.74,126.18,126.18,23603810.0,0.0,MSFT
66,2019-05-23,179.8,180.54,177.81,179.66,179.66,36529736.0,0.0,AAPL
67,2019-05-23,182.42,183.9,179.67,180.87,180.87,12768835.0,0.0,FB
68,2019-05-23,135.13,135.13,130.44,132.39,132.39,5343437.0,0.0,IBM
69,2019-05-23,194.34,199.465,186.22,195.49,195.49,26547142.0,0.0,TSLA
70,2019-05-23,1146.07,1150.05,1133.16,1145.34,1145.34,1260657.0,0.0,GOOGL
