,dates,open,high,low,close,adjusted close,volume,dividend amount,tickers
0,2019-06-07,1054.28,1073.43,1051.15,1068.37,1068.37,2170252.0,0.0,GOOGL
1,2019-06-06,1046.21,1050.0,1035.51,1047.76,1047.76,1451026.0,0.0,GOOGL
2,2019-06-05,1055.0,1056.81,1033.0,1044.64,1044.64,2349436.0,0.0,GOOGL
3,2019-06-04,1044.49,1058.44,1036.03,1054.49,1054.49,3025564.0,0.0,GOOGL
4,2019-06-03,1066.93,1067.0,1027.03,1038.74,1038.74,4844480.0,0.0,GOOGL
5,2019-05-31,1105.64,1113.4,1103.35,1106.5,1106.5,1579481.0,0.0,GOOGL
6,2019-05-30,1120.15,1126.8,1115.9,1121.41,1121.41,904419.0,0.0,GOOGL
7,2019-05-29,1132.7,1135.0,1111.95,1119.94,1119.94,1811510.0,0.0,GOOGL
8,2019-05-28,1141.48,1156.49,1138.67,1139.56,1139.56,1047554.0,0.0,GOOGL
9,2019-05-24,1152.0,1154.36,1136.71,1138.61,1138.61,927651.0,0.0,GOOGL
10,2019-05-23,1146.07,1150.05,1133.16,1145.34,1145.34,1260657.0,0.0,GOOGL
11,2019-05-22,1151.25,1163.78,1151.0,1155.85,1155.85,941279.0,0.0,GOOGL
12,2019-05-21,1154.48,1158.0,1143.31,1154.44,1154.44,1028248.0,0.0,GOOGL
13,2019-05-20,1153.0,1153.0,1138.13,1144.66,1144.66,1530126.0,0.0,GOOGL
14,2019-05-17,1175.83,1186.29,1166.42,1168.78,1168.78,1268050.0,0.0,GOOGL
15,2019-05-16,1171.84,1194.16,1168.45,1184.5,1184.5,1765388.0,0.0,GOOGL
16,2019-05-15,1122.55,1178.3,1121.4,1170.8,1170.8,2965117.0,0.0,GOOGL
17,2019-05-14,1142.32,1144.87,1123.53,1124.86,1124.86,2019550.0,0.0,GOOGL
18,2019-05-13,1145.24,1151.97,1125.5,1136.59,1136.59,2281686.0,0.0,GOOGL
19,2019-05-10,1168.84,1176.28,1146.37,1167.64,1167.64,1582460.0,0.0,GOOGL
20,2019-05-09,1162.6,1174.07,1154.64,1167.97,1167.97,1477752.0,0.0,GOOGL
21,2019-05-08,1177.29,1184.27,1167.63,1170.78,1170.78,1276022.0,0.0,GOOGL
22,2019-05-07,1185.81,1194.77,1165.0,1178.86,1178.86,1830238.0,0.0,GOOGL
23,2019-05-06,1172.0,1195.43,1171.15,1193.46,1193.46,1588684.0,0.0,GOOGL
24,2019-05-03,1177.41,1191.4,1173.55,1189.55,1189.55,2079376.0,0.0,GOOGL
25,2019-05-02,1172.6,1179.38,1158.33,1166.51,1166.51,2254890.0,0.0,GOOGL
26,2019-05-01,1197.5,1199.25,1171.67,1173.32,1173.32,3717018.0,0.0,GOOGL
27,2019-04-30,1190.63,1200.98,1183.0,1198.96,1198.96,6658855.0,0.0,GOOGL
28,2019-04-29,1280.51,1296.97,1271.71,1296.2,1296.2,3618362.0,0.0,GOOGL
29,2019-04-26,1273.38,1278.91,1265.0,1277.42,1277.42,1361419.0,0.0,GOOGL
30,2019-04-25,1270.3,1272.8,1258.0,1267.34,1267.34,1567161.0,0.0,GOOGL
31,2019-04-24,1270.59,1274.0,1259.81,1260.05,1260.05,1169797.0,0.0,GOOGL
32,2019-04-23,1256.64,1274.43,1251.97,1270.59,1270.59,1593449.0,0.0,GOOGL
33,2019-04-22,1236.67,1254.34,1233.37,1253.76,1253.76,954419.0,0.0,GOOGL
34,2019-04-18,1245.0,1245.94,1239.41,1241.47,1241.47,1237788.0,0.0,GOOGL
35,2019-04-17,1237.0,1245.1,1232.9,1240.14,1240.14,1518286.0,0.0,GOOGL
36,2019-04-16,1230.0,1235.98,1225.04,1231.91,1231.91,1131099.0,0.0,GOOGL
37,2019-04-15,1224.09,1229.3,1214.56,1226.53,1226.53,1189974.0,0.0,GOOGL
38,2019-04-12,1215.62,1223.05,1213.29,1222.73,1222.73,1215610.0,0.0,GOOGL
39,2019-04-11,1208.9,1212.74,1204.54,1209.59,1209.59,849947.0,0.0,GOOGL
40,2019-04-10,1205.09,1208.94,1200.66,1206.45,1206.45,775456.0,0.0,GOOGL
41,2019-04-09,1201.89,1207.15,1198.38,1202.69,1202.69,983840.0,0.0,GOOGL
42,2019-04-08,1211.11,1213.95,1204.69,1208.28,1208.28,1087588.0,0.0,GOOGL
43,2019-04-05,1219.3,1220.39,1210.03,1211.45,1211.45,1001044.0,0.0,GOOGL
44,2019-04-04,1211.29,1220.55,1209.04,1219.45,1219.45,1051089.0,0.0,GOOGL
45,2019-04-03,1212.7,1220.6,1205.08,1210.81,1210.81,1109614.0,0.0,GOOGL
46,2019-04-02,1200.05,1205.81,1191.24,1205.54,1205.54,914413.0,0.0,GOOGL
47,2019-04-01,1187.54,1200.2,1186.36,1198.98,1198.98,1385595.0,0.0,GOOGL
48,2019-03-29,1180.18,1183.97,1166.38,1176.89,1176.89,1544615.0,0.0,GOOGL
49,2019-03-28,1175.5,1177.25,1163.43,1172.27,1172.27,1120122.0,0.0,GOOGL
50,2019-03-27,1191.92,1191.92,1164.23,1178.01,1178.01,1471402.0,0.0,GOOGL
51,2019-03-26,1205.19,1207.65,1181.76,1189.84,1189.84,1537606.0,0.0,GOOGL
52,2019-03-25,1199.56,1209.44,1190.0,1197.38,1197.38,1378849.0,0.0,GOOGL
53,2019-03-22,1228.85,1233.63,1206.0,1207.65,1207.65,1721133.0,0.0,GOOGL
54,2019-03-21,1220.0,1236.44,1216.58,1236.13,1236.13,1407480.0,0.0,GOOGL
55,2019-03-20,1201.4,1229.99,1199.59,1226.43,1226.43,2075442.0,0.0,GOOGL
56,2019-03-19,1191.72,1203.4,1189.46,1202.46,1202.46,1489407.0,0.0,GOOGL
57,2019-03-18,1189.69,1194.95,1181.48,1188.55,1188.55,1222203.0,0.0,GOOGL
58,2019-03-15,1198.0,1201.72,1187.01,1190.3,1190.3,2593338.0,0.0,GOOGL
59,2019-03-14,1199.02,1204.7,1191.23,1192.53,1192.53,1365072.0,0.0,GOOGL
60,2019-03-13,1205.93,1207.12,1197.91,1199.06,1199.06,1294354.0,0.0,GOOGL
61,2019-03-12,1182.3,1205.71,1182.3,1197.25,1197.25,2110979.0,0.0,GOOGL
62,2019-03-11,1152.0,1179.91,1151.57,1179.26,1179.26,1501633.0,0.0,GOOGL
63,2019-03-08,1133.9,1153.45,1130.2,1149.97,1149.97,1184732.0,0.0,GOOGL
64,2019-03-07,1160.5,1163.58,1141.71,1150.85,1150.85,1504328.0,0.0,GOOGL
65,2019-03-06,1171.76,1174.74,1163.05,1164.94,1164.94,1180052.0,0.0,GOOGL
66,2019-03-05,1156.0,1176.49,1153.02,1169.19,1169.19,2004723.0,0.0,GOOGL
67,2019-03-04,1154.56,1165.52,1138.25,1153.42,1153.42,1774467.0,0.0,GOOGL
68,2019-03-01,1131.0,1150.0,1131.0,1148.52,1148.52,1704258.0,0.0,GOOGL
69,2019-02-28,1119.0,1133.99,1118.41,1126.55,1126.55,1371355.0,0.0,GOOGL
70,2019-02-27,1114.01,1125.73,1108.56,1122.89,1122.89,1104881.0,0.0,GOOGL
71,2019-02-26,1114.37,1126.43,1106.7,1122.01,1122.01,1751261.0,0.0,GOOGL
72,2019-02-25,1121.93,1125.4,1114.11,1117.33,1117.33,1310362.0,0.0,GOOGL
73,2019-02-22,1109.7,1117.25,1100.5,1116.56,1116.56,1471783.0,0.0,GOOGL
74,2019-02-21,1118.78,1119.15,1097.98,1104.21,1104.21,1663980.0,0.0,GOOGL
75,2019-02-20,1128.88,1130.93,1111.75,1120.59,1120.59,1204533.0,0.0,GOOGL
76,2019-02-19,1116.64,1129.64,1116.64,1126.51,1126.51,1099259.0,0.0,GOOGL
77,2019-02-15,1139.3,1139.3,1116.72,1119.63,1119.63,1391348.0,0.0,GOOGL
78,2019-02-14,1125.0,1136.13,1117.09,1129.2,1129.2,1055297.0,0.0,GOOGL
79,2019-02-13,1133.04,1142.85,1126.0,1128.63,1128.63,1402087.0,0.0,GOOGL
80,2019-02-12,1111.01,1132.86,1111.01,1127.58,1127.58,1751771.0,0.0,GOOGL
81,2019-02-11,1103.75,1113.43,1100.0,1102.12,1102.12,924881.0,0.0,GOOGL
82,2019-02-08,1094.88,1105.1,1094.24,1102.38,1102.38,1088327.0,0.0,GOOGL
