,dates,open,high,low,close,adjusted close,volume,dividend amount,tickers
0,2019-06-27,138.72,139.3,137.95,138.52,138.52,1654232.0,0.0,IBM
1,2019-06-26,138.87,139.68,138.4073,138.52,138.52,2284567.0,0.0,IBM
2,2019-06-25,139.46,139.55,138.13,138.36,138.36,2801251.0,0.0,IBM
3,2019-06-24,139.2,140.15,139.05,139.35,139.35,2186137.0,0.0,IBM
4,2019-06-21,138.44,139.54,138.39,139.2,139.2,5288759.0,0.0,IBM
5,2019-06-20,138.93,139.54,138.2,138.85,138.85,3071017.0,0.0,IBM
6,2019-06-19,136.43,138.36,136.24,137.08,137.08,2382520.0,0.0,IBM
7,2019-06-18,135.2,137.19,135.2,136.38,136.38,2914698.0,0.0,IBM
8,2019-06-17,135.39,136.03,134.7,134.95,134.95,2194129.0,0.0,IBM
9,2019-06-14,135.44,135.88,134.43,135.15,135.15,2193367.0,0.0,IBM
10,2019-06-13,135.13,136.27,135.09,135.76,135.76,2955419.0,0.0,IBM
11,2019-06-12,135.56,135.94,134.41,134.87,134.87,2254741.0,0.0,IBM
12,2019-06-11,135.32,136.46,135.05,135.95,135.95,3407345.0,0.0,IBM
13,2019-06-10,134.38,135.3526,133.91,134.74,134.74,2911327.0,0.0,IBM
14,2019-06-07,132.47,134.72,132.21,133.31,133.31,2553398.0,0.0,IBM
15,2019-06-06,132.19,132.65,130.9,132.22,132.22,2298248.0,0.0,IBM
16,2019-06-05,133.38,133.61,130.47,131.49,131.49,3161584.0,0.0,IBM
17,2019-06-04,129.56,132.74,129.085,132.69,132.69,3913535.0,0.0,IBM
18,2019-06-03,127.1,128.56,127.06,128.27,128.27,4267080.0,0.0,IBM
19,2019-05-31,128.44,128.44,126.85,126.99,126.99,3539343.0,0.0,IBM
20,2019-05-30,129.74,129.97,128.93,129.57,129.57,2741880.0,0.0,IBM
21,2019-05-29,130.0,130.28,128.32,129.69,129.69,3678978.0,0.0,IBM
22,2019-05-28,132.13,132.64,130.27,130.46,130.46,4909121.0,0.0,IBM
23,2019-05-24,133.53,134.245,131.59,132.28,132.28,2596121.0,0.0,IBM
24,2019-05-23,135.13,135.13,130.44,132.39,132.39,5343437.0,0.0,IBM
25,2019-05-22,136.0,136.75,135.7116,136.35,136.35,1849821.0,0.0,IBM
26,2019-05-21,136.12,137.06,135.79,136.45,136.45,2503504.0,0.0,IBM
27,2019-05-20,133.53,135.43,132.9308,135.12,135.12,3264649.0,0.0,IBM
28,2019-05-17,134.68,135.41,133.94,134.32,134.32,2619135.0,0.0,IBM
29,2019-05-16,134.74,136.11,134.64,135.88,135.88,3017472.0,0.0,IBM
30,2019-05-15,132.59,134.59,132.37,134.4,134.4,2551009.0,0.0,IBM
31,2019-05-14,131.82,134.32,131.68,133.31,133.31,3280374.0,0.0,IBM
32,2019-05-13,133.28,133.57,130.96,131.42,131.42,4958021.0,0.0,IBM
33,2019-05-10,134.88,135.75,132.42,135.32,135.32,3977686.0,0.0,IBM
34,2019-05-09,134.89,135.5848,133.03,135.34,135.34,4192942.0,1.62,IBM
35,2019-05-08,137.77,138.7,137.13,138.0,136.3677,3818909.0,0.0,IBM
36,2019-05-07,139.15,139.51,136.19,137.64,136.012,4726771.0,0.0,IBM
37,2019-05-06,138.3,140.69,137.9,140.38,138.7195,2793655.0,0.0,IBM
38,2019-05-03,139.7,141.0,139.63,140.25,138.5911,2580034.0,0.0,IBM
