,dates,open,high,low,close,adjusted close,volume,dividend amount,tickers
0,2019-06-07,203.5,206.39,203.5,205.48,205.48,4345033.0,0.0,MCD
1,2019-06-06,200.12,203.38,200.03,203.05,203.05,4657847.0,0.0,MCD
2,2019-06-05,200.08,200.56,199.25,200.13,200.13,4294736.0,0.0,MCD
3,2019-06-04,199.0,200.3,198.79,199.63,199.63,3829903.0,0.0,MCD
4,2019-06-03,198.36,199.1,197.32,198.78,198.78,3211789.0,0.0,MCD
5,2019-05-31,197.41,200.03,197.25,198.27,198.27,3669172.0,1.16,MCD
6,2019-05-30,196.01,199.42,195.775,199.24,198.0811,2685006.0,0.0,MCD
7,2019-05-29,195.85,196.7,194.85,196.02,194.8798,2925087.0,0.0,MCD
8,2019-05-28,198.28,199.38,196.38,196.67,195.5261,3675164.0,0.0,MCD
9,2019-05-24,199.87,199.9,197.33,197.77,196.6197,2105755.0,0.0,MCD
10,2019-05-23,198.81,199.43,198.1,198.97,197.8127,3560545.0,0.0,MCD
11,2019-05-22,199.52,200.17,198.5,199.96,198.7969,1760440.0,0.0,MCD
12,2019-05-21,200.89,201.1462,199.07,199.84,198.6776,2264591.0,0.0,MCD
13,2019-05-20,199.22,200.68,198.28,198.99,197.8326,2217366.0,0.0,MCD
14,2019-05-17,198.86,200.37,198.8,199.22,198.0612,2239574.0,0.0,MCD
15,2019-05-16,199.36,200.63,198.89,199.99,198.8267,2520899.0,0.0,MCD
16,2019-05-15,197.66,199.73,197.5,199.07,197.9121,1898987.0,0.0,MCD
17,2019-05-14,198.83,199.61,197.64,198.01,196.8583,2787732.0,0.0,MCD
18,2019-05-13,198.0,199.91,197.28,199.03,197.8723,2809429.0,0.0,MCD
19,2019-05-10,197.06,200.36,197.02,199.99,198.8267,2668932.0,0.0,MCD
20,2019-05-09,197.12,198.31,196.41,197.73,196.5799,1923655.0,0.0,MCD
21,2019-05-08,197.71,199.09,196.75,198.03,196.8781,2040919.0,0.0,MCD
22,2019-05-07,197.96,199.62,196.73,198.04,196.8881,3072542.0,0.0,MCD
23,2019-05-06,196.53,199.18,195.94,198.9,197.7431,2371253.0,0.0,MCD
24,2019-05-03,195.34,197.97,194.75,197.52,196.3711,2915210.0,0.0,MCD
25,2019-05-02,194.19,195.15,193.32,194.61,193.478,2417953.0,0.0,MCD
26,2019-05-01,195.87,197.19,193.95,194.17,193.0406,4059612.0,0.0,MCD
27,2019-04-30,198.85,200.0,195.5,197.57,196.4208,6162285.0,0.0,MCD
28,2019-04-29,197.98,198.36,195.4001,197.12,195.9734,3456076.0,0.0,MCD
29,2019-04-26,198.47,198.6,196.54,197.42,196.2717,2302119.0,0.0,MCD
30,2019-04-25,196.49,198.02,195.62,197.93,196.7787,2040998.0,0.0,MCD
31,2019-04-24,195.57,198.26,195.34,197.63,196.4805,3070150.0,0.0,MCD
32,2019-04-23,194.31,195.95,194.12,195.26,194.1243,2192975.0,0.0,MCD
33,2019-04-22,194.0,194.73,193.3799,193.92,192.792,1738426.0,0.0,MCD
34,2019-04-18,191.77,195.0,191.66,194.91,193.7763,2918415.0,0.0,MCD
35,2019-04-17,192.0,192.35,191.37,191.61,190.4955,1875019.0,0.0,MCD
36,2019-04-16,192.5,193.07,191.39,191.7,190.585,1559227.0,0.0,MCD
37,2019-04-15,191.77,192.35,190.85,191.85,190.7341,1973531.0,0.0,MCD
38,2019-04-12,189.59,192.28,189.57,191.6,190.4855,3238816.0,0.0,MCD
39,2019-04-11,189.28,189.4799,188.05,188.88,187.7814,1740357.0,0.0,MCD
40,2019-04-10,190.56,191.3,188.76,189.22,188.1194,2406813.0,0.0,MCD
41,2019-04-09,189.4,190.28,188.44,190.08,188.9744,2279856.0,0.0,MCD
42,2019-04-08,190.71,191.5,189.6,189.85,188.7457,2290381.0,0.0,MCD
43,2019-04-05,190.35,191.24,190.07,190.71,189.6007,2438651.0,0.0,MCD
